Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),ShareVolume
4/20/18,2.9,2.9,2.9,2.9,3
4/19/18,2.9,2.9,2.8,2.9,378322
4/18/18,2.8,2.9,2.8,2.8,532300
4/17/18,2.8,2.8,2.8,2.8,376062
4/16/18,2.8,2.9,2.8,2.8,131521
04-12-18,2.9,2.9,2.8,2.8,1427623
04-11-18,2.9,2.9,2.8,2.8,288317
04-10-18,2.8,2.9,2.8,2.9,3685652
04-09-18,2.8,2.8,2.8,2.8,108720
04-06-18,2.9,2.9,2.8,2.8,1604892
04-05-18,2.8,2.9,2.7,2.8,3450329
04-04-18,2.8,2.8,2.7,2.7,132050
04-03-18,2.7,2.8,2.7,2.7,597077
04-02-18,2.8,2.8,2.7,2.7,209500
3/29/18,2.8,2.8,2.7,2.7,1182340
3/28/18,2.7,2.8,2.6,2.6,172172
3/27/18,2.7,2.8,2.7,2.8,585138
3/26/18,2.7,2.9,2.7,2.8,4624116
3/23/18,2.6,2.7,2.6,2.7,348399
3/22/18,2.7,2.8,2.6,2.7,1051444
3/21/18,2.7,2.7,2.6,2.7,155033
3/20/18,2.6,2.7,2.5,2.6,9183
3/19/18,2.5,2.7,2.5,2.6,66882
3/16/18,2.6,2.7,2.5,2.5,377098
3/15/18,2.7,2.7,2.6,2.6,100808
3/14/18,2.8,2.8,2.6,2.7,422264
3/13/18,2.6,2.8,2.6,2.7,6123151
03-12-18,2.6,2.7,2.4,2.6,755228
03-09-18,2.3,2.7,2.3,2.5,2087834
03-08-18,2.5,2.5,2.4,2.4,62946
03-07-18,2.5,2.5,2.4,2.5,38182
03-06-18,2.5,2.6,2.4,2.4,58705
03-05-18,2.3,2.6,2.3,2.6,203759
03-02-18,2.5,2.5,2.3,2.3,48825
2/28/18,2.5,2.5,2.4,2.4,171006
2/27/18,2.5,2.5,2.4,2.4,47627
2/26/18,2.5,2.5,2.4,2.4,339756
2/23/18,2.5,2.5,2.4,2.4,7950
2/22/18,2.5,2.6,2.5,2.5,22820
2/21/18,2.5,2.5,2.4,2.4,351780
2/20/18,2.5,2.6,2.4,2.5,686215
2/19/18,2.6,2.7,2.6,2.7,177050
2/16/18,2.6,2.6,2.6,2.6,42869
2/15/18,2.7,2.7,2.6,2.6,43110
2/14/18,2.6,2.7,2.6,2.7,381685
02-12-18,2.7,2.8,2.6,2.8,491331
02-09-18,2.8,2.9,2.7,2.8,741315
02-08-18,2.7,2.8,2.6,2.7,680840
02-07-18,2.6,2.6,2.5,2.6,583900
02-06-18,2.6,2.6,2.6,2.6,229109
02-02-18,2.6,2.6,2.4,2.5,626311
02-01-18,2.5,2.7,2.5,2.6,66462
1/30/18,2.5,2.6,2.5,2.5,9520
1/29/18,2.5,2.6,2.5,2.5,8756
1/26/18,2.5,2.5,2.5,2.5,24562
1/25/18,2.5,2.5,2.5,2.5,108032
1/24/18,2.5,2.5,2.5,2.5,13940
1/23/18,2.5,2.6,2.5,2.6,50632
1/22/18,2.5,2.6,2.5,2.6,18941
1/19/18,2.6,2.6,2.5,2.6,34505
1/18/18,2.5,2.6,2.5,2.6,120974
1/17/18,2.5,2.5,2.5,2.5,3220
1/16/18,2.6,2.6,2.5,2.5,152960
01-12-18,2.6,2.7,2.6,2.7,78418
01-11-18,2.6,2.7,2.6,2.6,1301
01-10-18,2.6,2.7,2.6,2.6,67330
01-09-18,2.6,2.6,2.6,2.6,1000
01-08-18,2.7,2.8,2.7,2.7,41400
01-05-18,2.6,2.7,2.6,2.6,184979
01-04-18,2.7,2.7,2.6,2.6,3074
01-03-18,2.7,2.7,2.7,2.7,42240
01-02-18,2.7,2.7,2.6,2.7,115350
12/29/17,2.6,2.6,2.6,2.6,50201
12/28/17,2.7,2.7,2.6,2.6,22000
12/27/17,2.7,2.7,2.6,2.7,1001
12/26/17,2.6,2.6,2.6,2.6,39000
12/22/17,2.6,2.7,2.6,2.6,141428
12/21/17,2.7,2.7,2.6,2.6,50437
12/20/17,2.6,2.6,2.6,2.6,507
12/19/17,2.6,2.7,2.5,2.6,130632
12/18/17,2.6,2.6,2.6,2.6,5400
12/15/17,2.7,2.8,2.7,2.7,166470
12/14/17,2.7,2.7,2.7,2.7,680811
12/13/17,2.6,2.7,2.6,2.6,148303
12-12-17,2.6,2.7,2.6,2.6,541823
12-11-17,2.5,2.6,2.5,2.5,81094
12-08-17,2.6,2.6,2.6,2.6,5
12-07-17,2.5,2.6,2.5,2.6,109550
12-06-17,2.5,2.6,2.5,2.6,337550
12-05-17,2.7,2.7,2.6,2.6,307650
12-04-17,2.7,2.7,2.7,2.7,25000
11/30/17,2.7,2.8,2.7,2.7,84011
11/29/17,2.7,2.8,2.7,2.7,33086
11/28/17,2.7,2.7,2.7,2.7,25210
11/27/17,2.7,2.8,2.7,2.7,21602
11/24/17,2.8,2.8,2.7,2.7,182200
11/23/17,2.8,2.8,2.8,2.8,109240
11/22/17,2.8,2.9,2.8,2.9,124861
11/21/17,2.8,2.9,2.8,2.8,96770
11/20/17,2.9,2.9,2.8,2.8,121553
11/17/17,2.8,2.9,2.8,2.9,35557
11/16/17,2.9,2.9,2.7,2.8,771636
11/15/17,3,3,2.9,2.9,25493
11/14/17,2.9,2.9,2.9,2.9,432220
11/13/17,3,3,2.9,2.9,25000
11-10-17,3,3,3,3,10725
11-09-17,3,3,2.9,2.9,12020
11-08-17,3,3.1,3,3,364011
11-07-17,3.1,3.1,3,3,50686
11-06-17,3.1,3.1,3,3,113900
11-02-17,3.1,3.1,3,3,1861
11-01-17,3.1,3.1,3,3,89757
10/31/17,3,3.1,3,3.1,1962222
10/30/17,3.2,3.2,3,3,367479
10/27/17,3.1,3.1,3,3.1,73619
10/26/17,3.1,3.2,3,3.1,75601
10/25/17,3.2,3.2,3,3,121302
10/24/17,3.1,3.2,3.1,3.1,867374
10/23/17,3.1,3.2,3.1,3.1,417721
10/20/17,3.2,3.2,3.1,3.1,177019
10/19/17,3.2,3.2,3.2,3.2,22300
10/17/17,3.2,3.2,3.2,3.2,25600
10/16/17,3.2,3.3,3.2,3.2,562990
10/13/17,3.2,3.2,3.1,3.1,109141
10-12-17,3.3,3.3,3.1,3.1,362023
10-11-17,3.1,3.3,3.1,3.2,224196
10-10-17,3.1,3.2,3.1,3.2,455135
10-09-17,3.2,3.2,3.1,3.2,145940
10-06-17,3.2,3.3,3.2,3.2,176011
10-04-17,3.3,3.3,3.2,3.2,598469
10-03-17,3.2,3.3,3.2,3.2,350776
10-02-17,3.2,3.4,3.2,3.2,1633194
9/29/17,3.2,3.3,3.1,3.2,785579
9/28/17,3.4,3.5,3.2,3.2,2873596
9/27/17,3,3.4,3,3.3,4326134
9/26/17,3,3.2,3,3.1,74158
9/25/17,3.2,3.2,3,3.1,677881
9/22/17,3.2,3.3,3.1,3.2,59230
9/21/17,3.2,3.2,3.1,3.2,98398
