Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),ShareVolume
01-07-19,3.6,3.8,3.5,3.6,31993
01-04-19,3.7,3.9,3.7,3.7,9825
01-03-19,3.9,4,3.4,3.9,1470177
01-02-19,3.5,3.5,3.4,3.5,60505
12/31/18,3.4,3.6,3.4,3.4,352811
12/28/18,3.5,3.5,3.5,3.5,3100
12/27/18,3.6,3.6,3.6,3.6,1000
12/26/18,3.7,3.7,3.7,3.7,100
12/24/18,3.7,3.7,3.5,3.7,2
12/21/18,3.7,3.7,3.5,3.7,60350
12/20/18,3.5,3.7,3.5,3.5,20300
12/19/18,3.5,3.7,3.5,3.5,3100
12/18/18,3.5,3.5,3.5,3.5,125080
12/17/18,3.5,3.7,3.5,3.5,54000
12/14/18,3.6,3.8,3.6,3.6,55215
12/13/18,3.7,3.8,3.6,3.7,2400
12-12-18,3.7,3.7,3.7,3.7,17470
12-11-18,3.8,3.8,3.7,3.8,8902
12-10-18,3.7,3.7,3.7,3.7,17594
12-07-18,3.7,3.7,3.7,3.7,19133
12-06-18,3.7,3.8,3.6,3.7,630727
12-05-18,3.6,3.7,3.6,3.6,6007
12-04-18,3.6,3.7,3.6,3.6,200308
12-03-18,3.6,3.7,3.7,3.6,3
11/30/18,3.6,3.7,3.6,3.6,5006
11/29/18,3.6,3.6,3.6,3.6,38431
11/28/18,3.6,3.7,3.6,3.6,1153
11/27/18,3.7,3.7,3.6,3.7,6436
11/26/18,3.7,3.7,3.5,3.7,6652
11/23/18,3.7,3.7,3.5,3.7,13750
11/21/18,3.5,3.6,3.5,3.5,1900
11/19/18,3.5,3.7,3.5,3.5,2002
